name,room_type,star_rating,review_score,price,neighbourhood,latitude,longitude,distance_from_center,source,url
ClinkNOORD Hostel,Entire home/apt,3.0,4.0,98.71,Amsterdam Noord,,,1.5,booking,https://www.booking.com/hotel/nl/clinknoord.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=132464808_93250478_0_2_0_1185076&highlighted_blocks=132464808_93250478_0_2_0_1185076&matching_block_id=132464808_93250478_0_2_0_1185076&sr_pri_blocks=132464808_93250478_0_2_0_1185076_69126&from=searchresults
Holiday Inn Express Amsterdam Arena Towers by IHG,Hotel room,3.0,4.0,87.29,Zuidoost,52.3094823,4.9419947,7.8,booking,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-arena-towers.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=104274802_94579769_2_41_0&highlighted_blocks=104274802_94579769_2_41_0&matching_block_id=104274802_94579769_2_41_0&sr_pri_blocks=104274802_94579769_2_41_0__61067&from_sustainable_property_sr=1&from=searchresults
ibis Amsterdam Centre,Hotel room,3.0,3.85,148.0,Amsterdam City Centre,52.3797082,4.8974728,0.8,booking,https://www.booking.com/hotel/nl/ibiscentre.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1042218_95453819_2_2_0&highlighted_blocks=1042218_95453819_2_2_0&matching_block_id=1042218_95453819_2_2_0&sr_pri_blocks=1042218_95453819_2_2_0__103561&from_sustainable_property_sr=1&from=searchresults
Novotel Amsterdam City,Hotel room,4.0,4.25,114.29,Zuideramstel,52.3337092,4.8886519,4.4,booking,https://www.booking.com/hotel/nl/novotel-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1016030_95128104_2_2_0&highlighted_blocks=1016030_95128104_2_2_0&matching_block_id=1016030_95128104_2_2_0&sr_pri_blocks=1016030_95128104_2_2_0__79951&from_sustainable_property_sr=1&from=searchresults
Tribe Amsterdam City,Hotel room,4.0,4.5,100.29,Amsterdam Noord,52.4025133,4.9310373,4.2,booking,https://www.booking.com/hotel/nl/tribe-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=788625404_338509456_2_2_0_635861&highlighted_blocks=788625404_338509456_2_2_0_635861&matching_block_id=788625404_338509456_2_2_0_635861&sr_pri_blocks=788625404_338509456_2_2_0_635861_70191&from_sustainable_property_sr=1&from=searchresults
Holiday Inn Express Amsterdam - North Riverside by IHG,Hotel room,3.0,4.1,102.57,Amsterdam Noord,52.3841727,4.9198382,2.2,booking,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=633186202_247251398_2_41_0&highlighted_blocks=633186202_247251398_2_41_0&matching_block_id=633186202_247251398_2_41_0&sr_pri_blocks=633186202_247251398_2_41_0__71794&from_sustainable_property_sr=1&from=searchresults
Wittenberg by Cove,Entire home/apt,4.0,4.5,181.86,Amsterdam City Centre,52.3647177,4.9085151,1.4,booking,https://www.booking.com/hotel/nl/wiittenberg.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=265770001_105599917_0_0_0_1177135&highlighted_blocks=265770001_105599917_0_0_0_1177135&matching_block_id=265770001_105599917_0_0_0_1177135&sr_pri_blocks=265770001_105599917_0_0_0_1177135_127266&from=searchresults
Generator Amsterdam,Hotel room,3.0,3.9,104.14,Oost,52.3608796,4.9189118,2.2,booking,https://www.booking.com/hotel/nl/generator-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=167053101_139595415_0_2_0&highlighted_blocks=167053101_139595415_0_2_0&matching_block_id=167053101_139595415_0_2_0&sr_pri_blocks=167053101_139595415_0_2_0__72940&from=searchresults
Motel One Amsterdam,Hotel room,3.0,4.3,105.0,Zuideramstel,52.3386013,4.892892,3.8,booking,https://www.booking.com/hotel/nl/motel-one-amsterdam-rai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=143840302_326843453_2_2_0&highlighted_blocks=143840302_326843453_2_2_0&matching_block_id=143840302_326843453_2_2_0&sr_pri_blocks=143840302_326843453_2_2_0__73457&from_sustainable_property_sr=1&from=searchresults
Mercure Amsterdam City Hotel,Hotel room,4.0,4.15,104.43,Oost,52.3352478,4.9135808,4.4,booking,https://www.booking.com/hotel/nl/mercure-amstel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1011819_95128006_2_42_0&highlighted_blocks=1011819_95128006_2_42_0&matching_block_id=1011819_95128006_2_42_0&sr_pri_blocks=1011819_95128006_2_42_0__73050&from_sustainable_property_sr=1&from=searchresults
Hampton By Hilton Amsterdam Arena Boulevard,Hotel room,3.0,4.05,93.71,Zuidoost,52.3129926,4.9477483,7.6,booking,https://www.booking.com/hotel/nl/hampton-by-hilton-amsterdam-arena-boulevard.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=54570803_94489773_2_1_0_928966&highlighted_blocks=54570803_94489773_2_1_0_928966&matching_block_id=54570803_94489773_2_1_0_928966&sr_pri_blocks=54570803_94489773_2_1_0_928966_65551&from_sustainable_property_sr=1&from=searchresults
Citadines Canal Amsterdam,Hotel room,4.0,4.4,175.0,Amsterdam City Centre,52.3611838,4.8936467,1.3,booking,https://www.booking.com/hotel/nl/citadines-canal-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=937191701_365912827_2_2_0_246195&highlighted_blocks=937191701_365912827_2_2_0_246195&matching_block_id=937191701_365912827_2_2_0_246195&sr_pri_blocks=937191701_365912827_2_2_0_246195_122503&from_sustainable_property_sr=1&from=searchresults
Chassé Hotel Residency,Hotel room,4.0,4.45,129.57,Oost,52.3517384,4.9244717,3.2,booking,https://www.booking.com/hotel/nl/chasse-residency-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1001450707_377100347_0_2_0&highlighted_blocks=1001450707_377100347_0_2_0&matching_block_id=1001450707_377100347_0_2_0&sr_pri_blocks=1001450707_377100347_0_2_0__90694&from=searchresults
The Alfred Hotel,Hotel room,3.0,3.85,94.57,Oud Zuid,52.3534673,4.8720837,2.6,booking,https://www.booking.com/hotel/nl/the-alfred.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=186743306_92093121_0_2_0&highlighted_blocks=186743306_92093121_0_2_0&matching_block_id=186743306_92093121_0_2_0&sr_pri_blocks=186743306_92093121_0_2_0__66159&from=searchresults
Pestana Amsterdam Riverside,Hotel room,5.0,4.25,190.86,De Pijp,52.3533681,4.9071493,2.4,booking,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=275193011_417187573_0_34_0_665536&highlighted_blocks=275193011_417187573_0_34_0_665536&matching_block_id=275193011_417187573_0_34_0_665536&sr_pri_blocks=275193011_417187573_0_34_0_665536_133586&from_sustainable_property_sr=1&from=searchresults
WestCord Art Hotel Amsterdam 3 stars,Hotel room,3.0,4.35,83.14,Westerpark,52.3928312,4.8688353,2.8,booking,https://www.booking.com/hotel/nl/westcord-art-hotel-amsterdam-3-stars.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=27&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=1055409_95129079_2_2_0&highlighted_blocks=1055409_95129079_2_2_0&matching_block_id=1055409_95129079_2_2_0&sr_pri_blocks=1055409_95129079_2_2_0__58203&from_sustainable_property_sr=1&from=searchresults
Leonardo Royal Hotel Amsterdam,Hotel room,4.0,4.25,94.86,Oost,52.3328669,4.9176608,4.8,booking,https://www.booking.com/hotel/nl/leonardo-royal-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=28&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=451869916_137008629_2_2_0&highlighted_blocks=451869916_137008629_2_2_0&matching_block_id=451869916_137008629_2_2_0&sr_pri_blocks=451869916_137008629_2_2_0__66350&from_sustainable_property_sr=1&from=searchresults
Leonardo Hotel Amsterdam Rembrandtpark,Hotel room,4.0,4.15,101.71,Slotervaart,52.3681503,4.8442021,3.4,booking,https://www.booking.com/hotel/nl/leonardo-hotel-amsterdam-rembrandtpark.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=29&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682086&all_sr_blocks=39714812_91474090_2_42_0&highlighted_blocks=39714812_91474090_2_42_0&matching_block_id=39714812_91474090_2_42_0&sr_pri_blocks=39714812_91474090_2_42_0__71161&from_sustainable_property_sr=1&from=searchresults
